class,probs
space shuttle,0.995445
"projectile, missile",0.00176974
missile,0.00132682
"church, church building",0.000382837
sundial,0.000224455
"warplane, military plane",0.000105593
airliner,7.49927E-05
obelisk,6.95336E-05
"beacon, lighthouse, beacon light, pharos",6.7128E-05
"stupa, tope",4.91362E-05
"bell cote, bell cot",4.88928E-05
wing,4.73006E-05
mosque,4.04759E-05
"radio telescope, radio reflector",3.55363E-05
"pedestal, plinth, footstall",3.48256E-05
cannon,1.27024E-05
"cinema, movie theater, movie theatre, movie house, picture palace",1.21745E-05
"submarine, pigboat, sub, U-boat",1.05291E-05
"spotlight, spot",1.00459E-05
suspension bridge,8.24001E-06
"airship, dirigible",7.26172E-06
"tank, army tank, armored combat vehicle, armoured combat vehicle",6.71394E-06
crane,6.64363E-06
catamaran,6.39817E-06
monastery,5.6511E-06
"iron, smoothing iron",5.52814E-06
freight car,5.1361E-06
steam locomotive,4.97224E-06
"flagpole, flagstaff",4.51468E-06
"radio, wireless",4.05451E-06
castle,3.94596E-06
pole,3.79576E-06
"candle, taper, wax light",3.74337E-06
dome,3.65297E-06
monitor,3.37412E-06
palace,3.31005E-06
"passenger car, coach, carriage",3.18252E-06
totem pole,3.04944E-06
"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",2.93947E-06
trimaran,2.56215E-06
planetarium,2.46924E-06
"notebook, notebook computer",2.37644E-06
desktop computer,2.15886E-06
"solar dish, solar collector, solar furnace",2.04285E-06
fountain,1.96546E-06
analog clock,1.86429E-06
"maze, labyrinth",1.79669E-06
"television, television system",1.7007E-06
water tower,1.69279E-06
harp,1.67008E-06
guillotine,1.60365E-06
pelican,1.56215E-06
wine bottle,1.47871E-06
"liner, ocean liner",1.46531E-06
"computer keyboard, keypad",1.40662E-06
yawl,1.38243E-06
"aircraft carrier, carrier, flattop, attack aircraft carrier",1.30844E-06
"vacuum, vacuum cleaner",1.27865E-06
"traffic light, traffic signal, stoplight",1.2718E-06
"recreational vehicle, RV, R.V.",1.26869E-06
"picket fence, paling",1.24473E-06
"tow truck, tow car, wrecker",1.23852E-06
torch,1.236E-06
"patio, terrace",1.21734E-06
"screen, CRT screen",1.21449E-06
military uniform,1.16898E-06
"worm fence, snake fence, snake-rail fence, Virginia fence",1.14857E-06
"breakwater, groin, groyne, mole, bulwark, seawall, jetty",1.1445E-06
birdhouse,1.05564E-06
"ballplayer, baseball player",1.04531E-06
viaduct,1.02487E-06
"bullet train, bullet",1.01624E-06
steel arch bridge,9.47816E-07
"lumbermill, sawmill",8.9345E-07
umbrella,8.58557E-07
street sign,8.39005E-07
alp,7.7439E-07
"laptop, laptop computer",7.45084E-07
"rule, ruler",7.43138E-07
"brass, memorial tablet, plaque",7.3313E-07
"amphibian, amphibious vehicle",7.27502E-07
"microphone, mike",7.24115E-07
beer bottle,7.14104E-07
"quill, quill pen",7.12956E-07
shopping cart,6.88485E-07
schooner,6.81599E-07
"web site, website, internet site, site",6.78991E-07
"dock, dockage, docking facility",6.68887E-07
"balance beam, beam",6.54577E-07
barn,6.31362E-07
"bannister, banister, balustrade, balusters, handrail",6.139E-07
"lab coat, laboratory coat",5.74391E-07
carton,5.71106E-07
balloon,5.50492E-07
park bench,5.43226E-07
projector,5.31086E-07
forklift,5.22906E-07
pier,5.19145E-07
"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",5.14488E-07
geyser,5.1007E-07
"punching bag, punch bag, punching ball, punchball",5.06304E-07
"lakeside, lakeshore",4.99204E-07
altar,4.937E-07
hourglass,4.88466E-07
moving van,4.75705E-07
"limousine, limo",4.73159E-07
electric locomotive,4.70387E-07
"Ibizan hound, Ibizan Podenco",4.68803E-07
"white stork, Ciconia ciconia",4.62988E-07
"hard disc, hard disk, fixed disk",4.56409E-07
minibus,4.53236E-07
vase,4.49527E-07
gown,4.46117E-07
rugby ball,4.353E-07
mortar,4.28793E-07
chainlink fence,4.22889E-07
triumphal arch,4.21302E-07
"plunger, plumber's helper",4.16385E-07
"streetcar, tram, tramcar, trolley, trolley car",4.15299E-07
"bearskin, busby, shako",4.14814E-07
"assault rifle, assault gun",4.13468E-07
"unicycle, monocycle",4.08588E-07
hair spray,4.01995E-07
bow,3.87585E-07
modem,3.83287E-07
scoreboard,3.78216E-07
acoustic guitar,3.7482E-07
"hoopskirt, crinoline",3.74594E-07
oxygen mask,3.66922E-07
"greenhouse, nursery, glasshouse",3.66594E-07
barometer,3.66458E-07
"gas pump, gasoline pump, petrol pump, island dispenser",3.61424E-07
eggnog,3.59093E-07
"plane, carpenter's plane, woodworking plane",3.56804E-07
boathouse,3.56275E-07
"horizontal bar, high bar",3.50039E-07
crane,3.46013E-07
car mirror,3.43216E-07
stage,3.4288E-07
"chime, bell, gong",3.40719E-07
"scale, weighing machine",3.31831E-07
volcano,3.28071E-07
"Eskimo dog, husky",3.26114E-07
"megalith, megalithic structure",3.25743E-07
"basset, basset hound",3.23349E-07
cloak,3.16831E-07
paper towel,3.16757E-07
pickelhaube,3.09661E-07
ski,2.98713E-07
kelpie,2.97824E-07
matchstick,2.96154E-07
"restaurant, eating house, eating place, eatery",2.92576E-07
"jean, blue jean, denim",2.91729E-07
"book jacket, dust cover, dust jacket, dust wrapper",2.89117E-07
library,2.85867E-07
"container ship, containership, container vessel",2.79246E-07
"crossword puzzle, crossword",2.77714E-07
vault,2.73947E-07
sombrero,2.73295E-07
llama,2.71715E-07
"shield, buckler",2.70715E-07
"harvester, reaper",2.64364E-07
soccer ball,2.60461E-07
hatchet,2.55288E-07
"home theater, home theatre",2.52454E-07
"paddlewheel, paddle wheel",2.52245E-07
iPod,2.45818E-07
golf ball,2.45428E-07
"mailbox, letter box",2.3872E-07
rifle,2.36182E-07
"chambered nautilus, pearly nautilus, nautilus",2.34006E-07
red wine,2.33089E-07
"albatross, mollymawk",2.32245E-07
magnetic compass,2.32038E-07
tile roof,2.31704E-07
"grand piano, grand",2.30834E-07
nipple,2.277E-07
hare,2.27654E-07
"prison, prison house",2.27613E-07
"ice lolly, lolly, lollipop, popsicle",2.2684E-07
"cowboy hat, ten-gallon hat",2.26069E-07
"pitcher, ewer",2.25918E-07
"cellular telephone, cellular phone, cellphone, cell, mobile phone",2.22604E-07
desk,2.20171E-07
tripod,2.18059E-07
