class,probs
"television, television system",0.267063
"home theater, home theatre",0.0681222
alp,0.0479246
monitor,0.0285391
"screen, CRT screen",0.0246004
"solar dish, solar collector, solar furnace",0.0202688
tray,0.01838
"bow tie, bow-tie, bowtie",0.017017
"balance beam, beam",0.0139839
space shuttle,0.0139438
knot,0.013788
chain,0.0126453
"dalmatian, coach dog, carriage dog",0.0116477
car mirror,0.0110425
swing,0.010483
crane,0.0093183
totem pole,0.00890299
sunglass,0.00751461
"warplane, military plane",0.00724032
"sunglasses, dark glasses, shades",0.00656323
"pedestal, plinth, footstall",0.00614334
hair slide,0.0061143
envelope,0.00555869
"sax, saxophone",0.00527521
matchstick,0.00524889
street sign,0.00518208
"radio telescope, radio reflector",0.00506255
cauliflower,0.00488339
Great Dane,0.00485061
jigsaw puzzle,0.00468698
bluetick,0.00445244
electric guitar,0.0044254
ski,0.00442475
"caldron, cauldron",0.004215
"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.00394153
"horizontal bar, high bar",0.00393747
ox,0.00389859
EntleBucher,0.0038032
"letter opener, paper knife, paperknife",0.00373964
"ibex, Capra ibex",0.00373474
"flagpole, flagstaff",0.00361185
"chime, bell, gong",0.00348461
"snow leopard, ounce, Panthera uncia",0.00342956
"book jacket, dust cover, dust jacket, dust wrapper",0.00339127
banded gecko,0.00331972
volcano,0.00321535
plastic bag,0.00294653
"loupe, jeweler's loupe",0.00286118
golf ball,0.00281859
"hook, claw",0.00278424
comic book,0.002695
window screen,0.00260915
honeycomb,0.00250595
"cleaver, meat cleaver, chopper",0.00249665
stone wall,0.00249652
English setter,0.00246063
rain barrel,0.00242703
kimono,0.00238915
"spotlight, spot",0.00235344
"loggerhead, loggerhead turtle, Caretta caretta",0.00230135
castle,0.00224845
"church, church building",0.00223899
vase,0.00221539
"breastplate, aegis, egis",0.00216728
wing,0.0021667
"parachute, chute",0.00214417
Chihuahua,0.00212751
"cliff, drop, drop-off",0.00197851
"corkscrew, bottle screw",0.00193338
jellyfish,0.00188635
cup,0.00181452
"assault rifle, assault gun",0.0017743
"theater curtain, theatre curtain",0.00175072
"flute, transverse flute",0.00173068
"ballplayer, baseball player",0.00172989
viaduct,0.00172922
"Cardigan, Cardigan Welsh corgi",0.00172541
vulture,0.00170833
"ant, emmet, pismire",0.00168347
"leopard, Panthera pardus",0.00168052
standard schnauzer,0.00167519
"Madagascar cat, ring-tailed lemur, Lemur catta",0.00167049
"web site, website, internet site, site",0.00165879
rotisserie,0.00164554
rapeseed,0.00162055
"parallel bars, bars",0.00160867
Egyptian cat,0.00159629
tripod,0.00150813
custard apple,0.00150049
scorpion,0.00148754
"swimming trunks, bathing trunks",0.00148243
fountain,0.00145543
safety pin,0.00144351
trombone,0.00143437
pomegranate,0.00142813
hay,0.00142438
syringe,0.0014015
kite,0.00139749
bubble,0.00135405
steel drum,0.00134136
"studio couch, day bed",0.00133978
"hammerhead, hammerhead shark",0.00129605
"valley, vale",0.00126436
"indri, indris, Indri indri, Indri brevicaudatus",0.00121797
"gar, garfish, garpike, billfish, Lepisosteus osseus",0.0011861
stage,0.00118158
"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.00110838
barn,0.00108429
pole,0.00108271
conch,0.00105997
mask,0.00101491
"basset, basset hound",0.00101423
"pitcher, ewer",0.000988485
"tabby, tabby cat",0.000985488
mortar,0.000961807
"groom, bridegroom",0.000949577
barbell,0.000938867
"brassiere, bra, bandeau",0.000935927
"long-horned beetle, longicorn, longicorn beetle",0.000930451
"albatross, mollymawk",0.000929173
lionfish,0.00090927
"tiger shark, Galeocerdo cuvieri",0.000902029
cannon,0.000897306
