class,probs
space shuttle,0.985308
"church, church building",0.00542907
fountain,0.00248105
"chime, bell, gong",0.00113812
missile,0.000432746
castle,0.000374941
"bell cote, bell cot",0.000373193
"stupa, tope",0.000372165
"beacon, lighthouse, beacon light, pharos",0.000297752
"television, television system",0.0002659
monastery,0.000204151
"projectile, missile",0.000171409
pickelhaube,0.000158843
soap dispenser,0.000141684
monitor,0.000134831
crane,0.000123154
dome,0.000101153
"warplane, military plane",9.17091E-05
birdhouse,6.93805E-05
"submarine, pigboat, sub, U-boat",6.80145E-05
mosque,6.7385E-05
"spotlight, spot",6.22933E-05
"screen, CRT screen",6.02917E-05
analog clock,5.70361E-05
car mirror,5.2093E-05
obelisk,4.582E-05
"solar dish, solar collector, solar furnace",3.76729E-05
schooner,3.76192E-05
"drilling platform, offshore rig",3.69035E-05
wing,3.45786E-05
conch,3.44253E-05
"pirate, pirate ship",3.44204E-05
"pedestal, plinth, footstall",3.39663E-05
"candle, taper, wax light",3.30857E-05
alp,3.23913E-05
suspension bridge,3.13296E-05
geyser,3.09478E-05
sundial,2.95533E-05
altar,2.91813E-05
"radio telescope, radio reflector",2.9178E-05
"binoculars, field glasses, opera glasses",2.82263E-05
"lighter, light, igniter, ignitor",2.35393E-05
beaker,2.3381E-05
mortar,2.24261E-05
coffeepot,2.11667E-05
"groom, bridegroom",2.02534E-05
gown,1.93267E-05
"hoopskirt, crinoline",1.87491E-05
nipple,1.85951E-05
red wine,1.85417E-05
cannon,1.85277E-05
"perfume, essence",1.67131E-05
"brass, memorial tablet, plaque",1.67016E-05
screw,1.66999E-05
"cleaver, meat cleaver, chopper",1.64396E-05
wine bottle,1.58208E-05
"corkscrew, bottle screw",1.56776E-05
"aircraft carrier, carrier, flattop, attack aircraft carrier",1.55705E-05
fireboat,1.4027E-05
tray,1.39627E-05
syringe,1.3945E-05
"liner, ocean liner",1.3163E-05
paper towel,1.28954E-05
"hook, claw",1.19724E-05
"dam, dike, dyke",1.19404E-05
toaster,1.14167E-05
cocktail shaker,1.11548E-05
table lamp,1.09601E-05
"lampshade, lamp shade",1.08992E-05
freight car,1.0898E-05
barn,1.08776E-05
shovel,1.07975E-05
"bakery, bakeshop, bakehouse",1.06325E-05
"switch, electric switch, electrical switch",1.04789E-05
spatula,1.04672E-05
"shield, buckler",1.0339E-05
"breakwater, groin, groyne, mole, bulwark, seawall, jetty",1.03257E-05
"container ship, containership, container vessel",1.00973E-05
sunglass,9.6143E-06
"dock, dockage, docking facility",9.44145E-06
"brassiere, bra, bandeau",9.40318E-06
hare,8.95526E-06
"greenhouse, nursery, glasshouse",8.88958E-06
palace,8.7737E-06
tripod,8.41185E-06
hatchet,8.2018E-06
"web site, website, internet site, site",7.94808E-06
"plunger, plumber's helper",7.75361E-06
beer bottle,7.68234E-06
water tower,7.66432E-06
parking meter,7.58407E-06
"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",7.54398E-06
"ice cream, icecream",7.00664E-06
"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",6.87538E-06
"bucket, pail",6.85963E-06
catamaran,6.80168E-06
"washbasin, handbasin, washbowl, lavabo, wash-hand basin",6.60714E-06
"tank, army tank, armored combat vehicle, armoured combat vehicle",6.55421E-06
water bottle,6.55288E-06
oxygen mask,6.49049E-06
"bathtub, bathing tub, bath, tub",6.1236E-06
tile roof,6.10271E-06
dough,6.04232E-06
"frying pan, frypan, skillet",6.0076E-06
"ice lolly, lolly, lollipop, popsicle",5.99286E-06
"wood rabbit, cottontail, cottontail rabbit",5.90814E-06
hourglass,5.80265E-06
"iron, smoothing iron",5.6128E-06
planetarium,5.59949E-06
"picket fence, paling",5.47874E-06
"book jacket, dust cover, dust jacket, dust wrapper",5.38497E-06
shopping basket,5.31285E-06
"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",5.28048E-06
steam locomotive,5.25385E-06
window screen,5.1317E-06
cuirass,5.05035E-06
"stopwatch, stop watch",5.0423E-06
torch,5.0191E-06
umbrella,4.9385E-06
yawl,4.8561E-06
"caldron, cauldron",4.81699E-06
"pop bottle, soda bottle",4.72704E-06
pier,4.70148E-06
"tub, vat",4.7011E-06
"quill, quill pen",4.61066E-06
triumphal arch,4.5856E-06
"saltshaker, salt shaker",4.51229E-06
iPod,4.46846E-06
"breastplate, aegis, egis",4.44437E-06
"home theater, home theatre",4.42482E-06
mixing bowl,4.38905E-06
goblet,4.32405E-06
wreck,4.29239E-06
"harmonica, mouth organ, harp, mouth harp",4.24831E-06
jigsaw puzzle,4.23217E-06
envelope,4.22429E-06
pencil sharpener,4.12254E-06
gondola,4.09195E-06
"scale, weighing machine",4.08358E-06
measuring cup,4.0487E-06
overskirt,4.03866E-06
"notebook, notebook computer",4.03249E-06
vestment,4.02093E-06
hammer,4.00743E-06
"balance beam, beam",3.94747E-06
plastic bag,3.79703E-06
broom,3.77427E-06
"snowplow, snowplough",3.77367E-06
whiskey jug,3.74376E-06
wok,3.67398E-06
"assault rifle, assault gun",3.59698E-06
"ant, emmet, pismire",3.51701E-06
whistle,3.44129E-06
street sign,3.3946E-06
golf ball,3.36393E-06
electric guitar,3.34572E-06
rotisserie,3.30031E-06
matchstick,3.29536E-06
"plane, carpenter's plane, woodworking plane",3.28891E-06
"cockroach, roach",3.26507E-06
snorkel,3.21555E-06
"lakeside, lakeshore",3.21195E-06
espresso maker,3.2114E-06
barometer,3.19293E-06
"swimming trunks, bathing trunks",3.17409E-06
"binder, ring-binder",3.10025E-06
sewing machine,3.09996E-06
vase,3.09445E-06
stage,3.07284E-06
"airship, dirigible",3.0543E-06
"grand piano, grand",3.04791E-06
rifle,3.01316E-06
"swab, swob, mop",2.98647E-06
purse,2.94215E-06
snail,2.89869E-06
"rule, ruler",2.88931E-06
paintbrush,2.8436E-06
nail,2.70205E-06
"lab coat, laboratory coat",2.65087E-06
milk can,2.60777E-06
"handkerchief, hankie, hanky, hankey",2.57615E-06
bubble,2.53061E-06
"bannister, banister, balustrade, balusters, handrail",2.51254E-06
mask,2.49529E-06
bulletproof vest,2.46213E-06
holster,2.42175E-06
lifeboat,2.36209E-06
cowboy boot,2.34167E-06
cup,2.28118E-06
volcano,2.27034E-06
"harvester, reaper",2.2701E-06
projector,2.26869E-06
guillotine,2.23774E-06
"bolo tie, bolo, bola tie, bola",2.234E-06
"thresher, thrasher, threshing machine",2.21879E-06
"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",2.21476E-06
ladle,2.18988E-06
"microphone, mike",2.16881E-06
"letter opener, paper knife, paperknife",2.14875E-06
"jean, blue jean, denim",2.10251E-06
"revolver, six-gun, six-shooter",2.09322E-06
padlock,2.08682E-06
"seashore, coast, seacoast, sea-coast",2.07004E-06
"barrow, garden cart, lawn cart, wheelbarrow",2.05822E-06
mousetrap,2.04274E-06
"meerkat, mierkat",1.9801E-06
"traffic light, traffic signal, stoplight",1.96287E-06
tractor,1.94607E-06
"gasmask, respirator, gas helmet",1.90123E-06
espresso,1.9003E-06
Loafer,1.86716E-06
"cliff, drop, drop-off",1.85365E-06
vault,1.84819E-06
swing,1.83742E-06
llama,1.82807E-06
coffee mug,1.77807E-06
"Boston bull, Boston terrier",1.76569E-06
"oboe, hautboy, hautbois",1.75746E-06
pole,1.75159E-06
speedboat,1.73951E-06
"theater curtain, theatre curtain",1.73632E-06
ski,1.73495E-06
