class,probs
space shuttle,0.78862
"drilling platform, offshore rig",0.0322056
"television, television system",0.0132664
"home theater, home theatre",0.0122922
crane,0.0111653
altar,0.00667047
tray,0.00656347
stage,0.00562567
"book jacket, dust cover, dust jacket, dust wrapper",0.00533575
"container ship, containership, container vessel",0.00471415
monitor,0.00456884
"church, church building",0.00414151
castle,0.00398823
"beacon, lighthouse, beacon light, pharos",0.00271178
"parallel bars, bars",0.00258883
"screen, CRT screen",0.00258356
"binoculars, field glasses, opera glasses",0.00254597
"cinema, movie theater, movie theatre, movie house, picture palace",0.00240329
dumbbell,0.00192133
"solar dish, solar collector, solar furnace",0.00186034
jigsaw puzzle,0.00167362
cannon,0.00161083
"bell cote, bell cot",0.00154835
"aircraft carrier, carrier, flattop, attack aircraft carrier",0.00151682
"web site, website, internet site, site",0.00145795
"harmonica, mouth organ, harp, mouth harp",0.00137528
"marimba, xylophone",0.00136088
pelican,0.00106687
sunglass,0.00105764
trombone,0.00104964
"radio telescope, radio reflector",0.000992086
"pedestal, plinth, footstall",0.000985908
"dock, dockage, docking facility",0.000960034
syringe,0.000954477
suspension bridge,0.000928229
car mirror,0.000862436
birdhouse,0.000859696
forklift,0.000819356
tripod,0.000798972
"perfume, essence",0.000793968
"sunglasses, dark glasses, shades",0.000791851
"carpenter's kit, tool kit",0.000788184
"dogsled, dog sled, dog sleigh",0.000758303
pier,0.000736341
"malamute, malemute, Alaskan malamute",0.000721975
"sax, saxophone",0.000718042
"theater curtain, theatre curtain",0.00065249
"liner, ocean liner",0.000644106
"swimming trunks, bathing trunks",0.000599804
"flute, transverse flute",0.000599729
comic book,0.000595335
"binder, ring-binder",0.000580046
analog clock,0.000577218
"horizontal bar, high bar",0.000547578
barbell,0.000541246
"saltshaker, salt shaker",0.000529787
Chihuahua,0.000528622
hourglass,0.00052205
iPod,0.000514375
"wood rabbit, cottontail, cottontail rabbit",0.000508035
"dalmatian, coach dog, carriage dog",0.000502514
"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.000501833
wall clock,0.000499562
triumphal arch,0.000487553
"breakwater, groin, groyne, mole, bulwark, seawall, jetty",0.000486287
envelope,0.000472044
paintbrush,0.000459595
projector,0.000458843
"tow truck, tow car, wrecker",0.000456769
EntleBucher,0.00045105
beagle,0.000450858
"warplane, military plane",0.000422183
"cornet, horn, trumpet, trump",0.00041757
"garbage truck, dustcart",0.000414612
Siberian husky,0.000405416
"plane, carpenter's plane, woodworking plane",0.000400505
alp,0.00038617
"fox squirrel, eastern fox squirrel, Sciurus niger",0.000377751
"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",0.000374353
banjo,0.000373664
"pencil box, pencil case",0.000367308
monastery,0.000366604
freight car,0.000363098
mosque,0.000359414
"candle, taper, wax light",0.000332492
street sign,0.000332177
"Cardigan, Cardigan Welsh corgi",0.000331355
"basset, basset hound",0.00032765
totem pole,0.000324661
schooner,0.000320064
electric guitar,0.000319651
bluetick,0.000308796
"cellular telephone, cellular phone, cellphone, cell, mobile phone",0.000299111
guillotine,0.000295704
desktop computer,0.000287622
"Madagascar cat, ring-tailed lemur, Lemur catta",0.000286609
fountain,0.000285766
thimble,0.000279618
"lakeside, lakeshore",0.000278373
"balance beam, beam",0.000277456
screw,0.000267347
"drum, membranophone, tympan",0.00026648
pencil sharpener,0.000265781
"stupa, tope",0.000265508
steel arch bridge,0.000264309
joystick,0.0002642
fireboat,0.000261299
catamaran,0.000259819
"Arabian camel, dromedary, Camelus dromedarius",0.000256342
ski,0.000248193
"meerkat, mierkat",0.000242416
"spotlight, spot",0.000242372
toaster,0.000237471
crutch,0.000237404
table lamp,0.000233398
missile,0.000230626
"loupe, jeweler's loupe",0.000229484
